Address|Latitude|Longitude|Title
"Millennium Biltmore Hotel, 506 S. Grand Ave., Downtown LA; LAX"|33.941589|-118.40853|Rumor Has It (2005)
"Los Angeles International Airport (LAX), 1 World Way, El Segundo"|33.94466|-118.398227|Get Shorty (1995)
"Los Angeles International Airport (LAX), 1 World Way, El Segundo"|33.94466|-118.398227|Heat (1995)
"Randy's Donuts, 805 W. Manchester Blvd., Inglewood"|33.96168|-118.353131|Iron Man 2 (2010)
"Pann’s Restaurant, 6710 La Tijera Blvd., LA"|33.976225|-118.372379|Bewitched (2005)
"Edie’s Diner, 4211 Admiralty Way, Marina del Rey"|33.983446|-118.456661|Enough (2002)
"Venice Canals, Venice, CA"|33.983789|-118.466277|Touch of Evil (1958)
"Gold’s Gym, 360 Hampton Drive, Venice, CA"|33.995438|-118.475254|Pumping Iron (1977)
"Venice High School, Venice, CA"|33.995556|-118.44449|Grease (1978)
"Venice High School, 13000 Venice Blvd., Venice"|33.995556|-118.44449|Grease (1978)
"Venice High School, 13000 Venice Blvd., Venice"|33.995556|-118.44449|The Big Lebowski (1998)
"LAX Collateral (2004)LAX; Cheerio’s Bar, 4333 Leimert Blvd., Leimert Park"|34.00469|-118.330701|Cellular (2004)
Santa Monica Pier|34.009471|-118.497322|Beverly Hills Cop III (1994)
Santa Monica Pier|34.009471|-118.497322|Forrest Gump (1994)
Santa Monica Pier|34.009471|-118.497322|Inside Daisy Clover (1965)
"Santa Monica Pier, Santa Monica"|34.009471|-118.497322|Iron Man (2008)
Santa Monica Pier|34.009471|-118.497322|"They Shoot Horses, Don’t They? (1969)"
"Palisades Park Ocean Ave., Santa Monica"|34.012792|-118.466773|Heat (1995)
"LA Sports Arena, 3939 S. Figueroa St., Exposition Park"|34.012822|-118.284634|Escape from L.A. (1996)
"SkyRose Chapel at Rose Hills Memorial Park, 3888 Workman Mill Road, Whittier"|34.013002|-118.025928|Star Trek (2009)
"USC, Los Angeles, CA"|34.022953|-118.285087|The Graduate (1967)
"Akasha Restaurant, 9543 Culver Blvd. (Watseka Ave.), Culver City"|34.024488|-118.396908|TRON: Legacy (2010)
"Mount St. Mary’s College, 8 Chester Place, LA"|34.031|-118.277661|Payback (2001)
"Mount St. Mary’s College, 8 Chester Place, LA"|34.031|-118.277661|The Princess Diaries (2001)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|Ali (2001)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|Bedazzled (2000)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|Man on the Moon (1999)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|Raging Bull (1980)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|Rocky (1976)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|The Manchurian Candidate (1962)
"Olympic Auditorium, 1801 S. Grand Ave., Downtown LA"|34.033141|-118.268957|Virtuosity (1995)
"Bob Hope Patriotic Hall, 1816 S. Figueroa St., Downtown LA"|34.035202|-118.271033|Patton (1970)
"Will Rogers State Historical Park, Pacific Palisades"|34.035633|-118.51559|Star Trek IV (1986)
"office building, 11400 Olympic Blvd., West LA"|34.036769|-118.443124|Color of Night (1994)
"Surfrider Beach, 23050 Pacific Coast Highway, Malibu"|34.037477|-118.676771|Back to the Beach (1987)
"Surfrider Beach, 23050 Pacific Coast Highway, Malibu"|34.037477|-118.676771|Gidget (1959)
"Leo Carrillo State Beach, 32100 Pacific Coast Highway, Malibu"|34.039685|-118.873702|Inception (2010)
"1201 S. Figueroa St., Downtown LA"|34.040199|-118.269554|The Dark Knight Rises (2012)
"500 Seventh St., Downtown LA"|34.041086|-118.247397|Safety Last (1923)
"LA Convention Center, 1201 S. Figueroa St., Downtown LA"|34.041434|-118.268954|Old School (2003)
"J and J’s Sandwich Shop, 119 E. Sixth St. Downtown LA"|34.044932|-118.249451|L.A. Confidential (1997)
"Alexandria Hotel, 501 S. Spring St., Downtown LA"|34.047225|-118.249869|Dreamgirls (2006)
"Westside Pavilion, 10800 Pico Blvd., West LA"|34.047966|-118.334942|Clueless (1995)
"777 Tower, 777 S. Figueroa St., Downtown LA"|34.048447|-118.261423|13 Going on 30 (2004)
"777 Tower, 777 S. Figueroa St., Downtown LA"|34.048447|-118.261423|I Heart Huckabees (2004)
"777 Tower, 777 S. Figueroa St., Downtown LA"|34.048447|-118.261423|In Good Company (2004)
"777 Tower, 777 S. Figueroa St., Downtown LA"|34.048447|-118.261423|Solaris (2002)
"Bradbury Building, 304 S. Broadway, Downtown LA"|34.050544|-118.247926|Blade Runner (1982)
"Bradbury Building, 304 S. Broadway, Downtown LA"|34.050544|-118.247926|Chinatown (1974)
"Bradbury Building, 304 S. Broadway, Downtown LA"|34.050544|-118.247926|D.O.A. (1950)
"Bradbury Building, 304 S. Broadway, Downtown LA"|34.050544|-118.247926|Murder in the First (1995)
"Bradbury Building, 304 S. Broadway, Downtown LA"|34.050544|-118.247926|Pay It Forward (2000)
"Bradbury Building, 304 S. Broadway, Downtown LA"|34.050544|-118.247926|Wolf (1994)
"Grand Central Market, 317 S. Broadway, Downtown LA"|34.050647|-118.248706|I Am Sam (2001)
"U.S. Bank Tower, 633 W. Fifth St., Downtown LA"|34.051038|-118.254436|Hancock (2008)
"Caltrans HQ Building, 100 S. Main St., Downtown LA"|34.051145|-118.243595|Mr. & Mrs. Smith (2005)
"Angelus Plaza, 255 S. Hill St., Downtown LA"|34.05213|-118.249332|Minority Report (2002)
"Weller Court, Little Tokyo, Downtown LA"|34.052339|-118.239505|Hancock (2008)
"Union Bank Plaza, 445 S. Figueroa St., Downtown LA"|34.053274|-118.257215|Heat (1995)
"MOCA, 250 S. Grand Ave., Downtown LA"|34.053382|-118.250523|L.A. Story (1991)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|Anger Management (2003)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|Barton Fink (1991)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|Die Hard 2 (1990)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|Eraser (1996)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|Fathers’ Day (1997)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|"Liar, Liar (1997)"
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|Speed (1994)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|The Black Dahlia (2006)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|The Two Jakes (1990)
"LA City Hall, 200 N. Spring St., Downtown LA"|34.053477|-118.242893|The War of the Worlds (1953)
"Park Hyatt Hotel, 2151 Avenue of the Stars, Century City"|34.054016|-118.412367|Point of No Return (1993)
"Second Street Tunnel, Downtown LA"|34.054292|-118.249676|Demolition Man (1993)
"Second Street Tunnel, Downtown LA"|34.054292|-118.249676|The Terminator (1984)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|Blast from the Past (1999)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|Bugsy (1991)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|Pearl Harbor (2001)
"Union Station, 800 Alameda St., Downtown LA"|34.054773|-118.233151|The Dark Knight Rises (2012)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|The Fabulous Baker Boys (1989)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|The Hustler (1961)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|The Island (2005)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|The Italian Job (2003)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|The Way We Were (1973)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|True Confessions (1981)
"Union Station, 800 N. Alameda St., Downtown LA"|34.054773|-118.233151|Union Station (1950)
"MTA Building, 810 N. Vignes St., Downtown LA"|34.055162|-118.232107|Paparazzi (2004)
"Olvera Street, Downtown LA"|34.05682|-118.238131|The Kid (1921)
"Avenue of the Stars, Century City"|34.057856|-118.415009|Into the Night (1985)
"Westfield Century City shopping mall, 10250 Santa Monica Blvd., Century City"|34.059864|-118.420121|My First Mister (2001)
"1065 Broxton Ave., Westwood Village"|34.06135|-118.44615|Crash (2005)
"Southwestern Law School, 3050 Wilshire Blvd., LA"|34.061556|-118.288135|The Aviator (2004)
"Chinatown, Los Angeles"|34.062334|-118.238331|Lethal Weapon 4 (1998)
"La Brea Tar Pits, 5801 Wilshire Blvd., LA"|34.063855|-118.355662|Bad Influence (1990)
"La Brea Tar Pits, 5801 Wilshire Blvd., LA"|34.063855|-118.355662|Miracle Mile (1988)
"LACMA, 5905 Wilshire Blvd., LA"|34.063932|-118.359229|L.A. Story (1991)
"Burroughs Middle School, 600 S. McCadden Place, Hancock Park"|34.064026|-118.336722|Never Been Kissed (1999)
"Metro Gold Line Chinatown Station, 1231 N. Spring St., Downtown LA"|34.06462|-118.236041|Fast & Furious (2009)
"510 S. Lucerne Blvd., Hancock Park"|34.064897|-118.324077|Bewitched (2005)
"510 S. Lucerne Blvd., Hancock Park"|34.064897|-118.324077|Cheaper by the Dozen (2003)
"Palisades High School, 15777 Bowdoin St., Pacific Palisades; Chinatown, Downtown LA"|34.065369|-118.237077|Freaky Friday (2003)
"Kate Mantilini, 9101 Wilshire Blvd., Beverly Hills"|34.067211|-118.390341|Heat (1995)
"11388 Homedale St., Brentwood"|34.067888|-118.465719|American Beauty (1999)
"332 S. Lorraine Blvd., Hancock Park"|34.067936|-118.319546|Hot Chick (2002)
"330 S. Windsor Blvd., Hancock Park"|34.067938|-118.320999|American Beauty (1999)
"St. Brendan’s church, 810 S. Van Ness Ave., Hancock Park"|34.068522|-118.314739|Fight Club (1999)
"Kerckhoff Hall, UCLA"|34.070437|-118.4436|Herbie Fully Loaded (2005)
"All Saints Episcopal Church, 504 N. Camden  Drive, Beverly Hills"|34.070887|-118.405696|10 (1979)
"Dodger Stadium, 1000 Elysian Park Ave., Downtown LA"|34.072736|-118.240616|Star Trek (2009)
"Dodger Stadium, 1000 Elysian Park Ave., Downtown LA"|34.072736|-118.240616|Superman Returns (2006)
"Regent Beverly Wilshire hotel, 9500 Wilshire Blvd., Beverly Hills"|34.07362|-118.400356|Pretty Woman (1990)
"Beverly Center, 8500 Beverly Blvd., LA"|34.075712|-118.377219|Scenes From a Mall (1991)
"172 N. McCadden Place, Hancock Park"|34.075739|-118.337251|What Ever Happened to Baby Jane? (1962)
"Cha Cha Cha restaurant, 656 N. Virgil Ave., Silver Lake"|34.083087|-118.286805|The Fast and the Furious (2001)
"923-935 Vendome St., Silver Lake"|34.083208|-118.275266|The Music Box (1932)
"Whisky a Go Go, 8901 Sunset Blvd., West Hollywood"|34.090009|-118.361744|The Doors (1991)
"Hollywood Memorial Cemetery, 6000 Santa Monica Blvd., Hollywood"|34.090522|-118.319726|Hot Shots (1991)
"Formosa Cafe, 7156 Santa Monica Blvd., West Hollywood"|34.090665|-118.346366|L.A. Confidential (1997)
"Greystone Mansion, 905 Loma Vista  Drive, Beverly Hills"|34.091921|-118.401116|All of Me (1984)
"Greystone Mansion, 905 Loma Drive, Beverly Hills"|34.091921|-118.401116|Forever Amber (1947)
"Greystone Mansion, 905 Loma Vista  Drive, Beverly Hills"|34.091921|-118.401116|Ghostbusters II (1989)
"Greystone Mansion, 905 Loma Vista  Drive, Beverly Hills"|34.091921|-118.401116|Indecent Proposal (1993)
"Greystone Mansion, 905 Loma Vista Drive, Beverly Hills"|34.091921|-118.401116|The Disorderly Orderly (1964)
Greystone Mansion|34.091921|-118.401116|Witches of Eastwick (1987)
"Greystone Mansion, 905 Loma Vista Drive, Beverly Hills"|34.091921|-118.401116|Witches of Eastwick (1987)
"1630 Griffith Park Blvd., Echo Park"|34.092023|-118.277703|Shopgirl (2005)
"Hollywood & Highland MTA Metro Station, Hollywood"|34.092809|-118.328661|The Italian Job (2003)
"Loews Hollywood Hotel, 1755 N. Highland Ave., Hollywood"|34.092809|-118.328661|Yes Man (2008)
"1923 Micheltorena St., Silver Lake"|34.094869|-118.271312|Halloween H2O (1998)
"1416 N. La Brea Ave., Hollywood"|34.096626|-118.343454|Chaplin (1992)
"8301 Sunset Blvd., West Hollywood"|34.096767|-118.370506|Annie Hall (1977)
"1428 Genesee Ave., Hollywood, CA"|34.097081|-118.357854|A Nightmare on Elm Street (1984)
"Crossroads of the World; 6671 Sunset Blvd., Hollywood"|34.098098|-118.335664|Indecent Proposal (1993)
"Crossroads of the World, 6671 Sunset Blvd., Hollywood"|34.098098|-118.335664|L.A. Confidential (1997)
"1537 Orange Grove Ave., Hollywood"|34.099257|-118.360792|Halloween (1978)
"Ivar Theatre, 1605 N. Ivar St., Hollywood"|34.100067|-118.328509|Spider-man 2 (2004)
"Alexandria Hotel, 501 S. Spring St., Downtown LA; Ivar Theatre, 1605 N. Ivar St., Hollywood"|34.100067|-118.328509|Spider-Man 3 (2007)
"Hollyhock House, 4800 Hollywood Blvd., Hollywood"|34.100226|-118.294368|Cannibal Women in the Avocado Jungle of Death (1989)
"Las Palmas Hotel, 1738 N. Las Palmas Ave., Hollywood"|34.10271|-118.336008|Pretty Woman (1990)
"Dresden Room, 1760 N. Vermont Ave., Los Feliz"|34.103077|-118.291461|Swingers (1996)
"Capitol Records Building, 1750 Vine St., Hollywood"|34.103244|-118.326394|Hancock (2008)
"Yucca St. and Vine St., Hollywood"|34.103747|-118.326686|The Day After Tomorrow (2004)
"1851 N. Ivar St., Hollywood"|34.104989|-118.328545|Sunset Boulevard (1950)
"Malibu Creek State Park, 1925 Las Virgines Road, Calabasas"|34.105077|-118.731519|Doctor Doolittle (1967)
"Malibu Creek State Park, 1925 Las Virgenes Road, Calabasas"|34.105077|-118.731519|Love Me Tender (1956)
"Malibu Creek State Park, 1925 Las Virgines Road, Calabasas"|34.105077|-118.731519|Planet of the Apes (1968)
"Malibu Creek State Park, 1925 Las Virgines Road, Calabasas"|34.105077|-118.731519|Pleasantville (1998)
"1972 Canyon Drive, Hollywood"|34.105412|-118.316887|Blast from the Past (1999)
"Yamashiro restaurant, 1999 N. Sycamore Ave., Hollywood"|34.105866|-118.342155|Memoirs of a Geisha (2005)
"Yamashiro Restaurant, 1999 N. Sycamore Ave., Hollywood"|34.105866|-118.342155|Sayonara (1957)
"6301 Quebec Drive, Hollywood"|34.11341|-118.325845|Double Indemnity (1944)
"Ennis-Brown House, 2655 Glendower Ave., Los Feliz"|34.116196|-118.292871|Blade Runner (1982)
"Ennis-Brown House, 2655 Glendower Ave., Los Feliz"|34.116196|-118.292871|Day of the Locust (1975)
"Ennis-Brown House, 2655 Glendower Ave., Los Feliz"|34.116196|-118.292871|Grand Canyon (1991)
"Lacy Park, 1485 Virginia Road, San Marino"|34.120682|-118.121777|Monster-in-Law (2005)
"Bigfoot Lodge, 3172 Los Feliz Blvd., Los Feliz"|34.123508|-118.267987|Yes Man (2008)
"Occidental College, 1600 Campus Road, Eagle Rock"|34.126615|-118.212392|Clueless (1995)
Occidental College|34.126615|-118.212392|Clueless(1995)
"Occidental College, 1600 Campus Road, Eagle Rock"|34.126615|-118.212392|Jurassic Park III (2001)
"Huntington Library, 1151 Oxford Road, San Marino Los Angeles"|34.129045|-118.114524|"Legally Blonde 2: Red, White and Blonde (2003)"
"The Huntington Library, 1151 Oxford Road, San Marino"|34.129045|-118.114524|Memoirs of a Geisha (2005)
"Huntington Library, Art Galleries and Botanical Gardens, 1151 Oxford Road, San Marino"|34.129045|-118.114524|Midway (1976)
"Pat & Lorraine’s Coffee Shop, 4720 Eagle Rock Blvd., Eagle Rock"|34.13077|-118.216343|Reservoir Dogs (1992)
"843 S. El Molino Ave., Pasadena"|34.131375|-118.137064|Father of the Bride (1991)
Santa Anita Race Track|34.136494|-118.041122|A Day at the Races (1937)
"Greek Theatre, Griffith Park"|34.136554|-118.2942|Bye Bye Birdie (1963)
"Griffith Observatory, Griffith Park"|34.136554|-118.2942|Devil In A Blue Dress (1995)
"Bronson Caves, Griffith Park"|34.136554|-118.2942|Invasion of the Body Snatchers (1956)
"Griffith Park Observatory, Griffith Park"|34.136554|-118.2942|Rebel Without a Cause (1955)
"Bloomingdale’s, 10250 Santa Monica Blvd., Century City; Griffith Park"|34.136554|-118.2942|Terminator 3: Rise of the Machines (2003)
Griffith Park|34.136554|-118.2942|The Rocketeer (1991)
"Griffith Park Observatory, Griffith Park"|34.136554|-118.2942|The Terminator (1984)
"Calabasas High School, 22855 W. Mulholland Highway, Calabasas"|34.137574|-118.627602|Murder by the Numbers (2002)
"Carney’s restaurant, 12601 Ventura Blvd., Studio City"|34.143817|-118.407437|Crash (2005)
LA County Arboretum|34.144955|-118.052273|The African Queen (1951)
"Maranatha High School, 300 W. Green Street, Pasadena"|34.147785|-118.144516|Fast & Furious (2009)
"Gamble House, 4 Westmoreland Place, Pasadena"|34.151636|-118.160901|Back to the Future (1985)
"Walter Reed Middle School, 4525 Irvine Ave., North Hollywood"|34.152597|-118.386601|The Shaggy Dog (2006)
"Woodland Hills Golf Course, 21150 Dumetz Road, Woodland Hills"|34.157146|-118.591418|The Aviator (2004)
"Sherman Oaks Theater, 15052 Ventura Blvd., Sherman Oaks"|34.160307|-118.505927|Valley Girl (1983)
"Toluca Lake Car Wash, 10515 Magnolia Blvd., North Hollywood"|34.165097|-118.359849|The Country Bears (2002)
"Franklin Fields, 17301 Oxnard St., Encino"|34.180612|-118.510604|Bad News Bears (2005)
"Japanese Garden, 6100 Woodley Ave., Van Nuys"|34.180938|-118.481412|Austin Powers: Man of Mystery (1997)
"Japanese Garden, 6100 Woodley Ave., Van Nuys"|34.180938|-118.481412|Bio-Dome (1996)
"Japanese Garden, 6100 Woodley Ave., Van Nuys"|34.180938|-118.481412|Rising Sun (1993)
"Westfield Topanga Plaza, 6600 Topanga Canyon Blvd., Canoga Park"|34.191136|-118.602465|One Hour Photo (2002)
"Canoga Park High School, 6850 Topanga Canyon Blvd., Canoga Park"|34.195367|-118.60387|Fast Times at Ridgemont High (1982)
"Van Nuys Airport, 16461 Sherman Way, Van Nuys"|34.201299|-118.492202|Pearl Harbor (2001)
"Van Nuys Airport, 6590 Hayvenhurst Ave., Van Nuys"|34.201961|-118.492522|Casablanca (1942)
"Van Nuys Airport, 6590 Hayvenhurst Ave., Van Nuys"|34.201961|-118.492522|Casablanca (1942)
"Iceoplex, 8345 Hayvenhurst Place, North Hills"|34.222551|-118.493971|D2: The Mighty Ducks (1994)
"California State University Northridge (CSUN), 18111 Nordhoff St., Northridge"|34.235936|-118.527972|Star Trek (2009)
"Northridge Fashion Center, 9301 Tampa Ave., Northridge"|34.238952|-118.557074|Terminator 2: Judgment Day (1991)
"Travel Inn, 7254 Foothill Blvd., Tujunga"|34.249277|-118.290163|Memento (2000)
"Mason Park, 10500 Mason Ave., Chatsworth, CA"|34.260338|-118.579069|Bad News Bears (1976)
"White Oak Boulevard, Granada Hills;"|34.265696|-118.519371|E.T.: The Extra Terrestrial (1982)
"7121 Lonzo St., Tujunga"|34.27088|-118.287408|E.T.: The Extra Terrestrial (1982)
"Hansen Dam, 11770 Foothill Blvd., Lake View Terrace"|34.271355|-118.389649|Charlie’s Angels 2: Full Throttle (2003)
211 Muirfield Road|36.96648|-76.632839|The Aviator (2004)
"750 Bel Air Road, Bel Air"|39.515075|-76.37001|High Society (1956)
"Banning Mansion, Banning Park, Wilmington"|39.739072|-75.539788|Primary Colors (1998)
Multiple locations|42.316826|-71.208802|500 Days of Summer (2009)
"Elysian Park, 1880 Academy Drive, Downtown LA;"|44.198577|-93.673838|Yes Man (2008)
"Third Street Tunnel, Downtown LA"|48.87901|2.385121|Police Academy 2 (1985)
